"English";"Deutsch";"Franzözisch";"H";"C";"L"
"lightgoldenrodyellow";"hellgoldgelb";"jaune d'or clair";"86";"30";"97"
"lightgray";"hellgrau";"gris clair";"94";"0";"85"
"lightgreen";"hellgrün";"vert clair";"128";"74";"87"
"lightgrey";"hellgrau";"gris clair";"94";"0";"85"
"lightpink";"hellrosa";"rose clair";"3";"46";"81"
"lightsalmon";"helllachs";"saumon clair";"28";"80";"75"
"lightseagreen";"helles seegrün";"vert-mer clair";"184";"50";"66"
"lightskyblue";"helles himmelblau";"bleu-ciel clair";"233";"55";"80"
"lightslateblue";"schieferblau";"bleu ardoise clair";"269";"112";"56"
"lightslategray";"schiefergrau";"gris ardoise clair";"239";"19";"56"
"lightslategrey";"schiefergrau";"gris acier clair";"239";"19";"56"
"lightsteelblue";"stahlblau";"bleu acier clair";"243";"26";"78"
"lightyellow";"hellgelb";"jaune clair";"86";"23";"99"
"limegreen";"limettengrün";"vert citron";"128";"103";"73"
"linen";"leinen";"lin";"54";"11";"95"
"magenta";"magenta";"magenta";"308";"137";"60"
"maroon";"kastanienbraun";"marron";"355";"82";"42"
"mediumaquamarine";"mittleres aquamarin";"aigue-marine moyen";"158";"49";"76"
"mediumblue";"mittleres blau";"bleu moyen";"266";"101";"25"
"mediumorchid";"mittlere orchidee";"orchidee moyen";"297";"90";"54"
"mediumpurple";"mittleres violett";"violet moyen";"276";"83";"55"
"mediumseagreen";"mittleres seegrün";"vert-mer moyen";"141";"64";"65"
"mediumslateblue";"mittleres schieferblau";"bleu ardoise moyen";"269";"105";"52"
"mediumspringgreen";"mittleres frühlingsgrün";"vert printemps moyen";"143";"95";"87"
"mediumturquoise";"mittleres türkis";"turquoise moyen";"188";"53";"77"
"mediumvioletred";"mittelviolettrot";"rouge-violet moyen";"340";"98";"45"
"midnightblue";"mitternachtsblau";"bleu nuit";"266";"49";"16"
"mintcream";"minzcreme";"creme menthe";"153";"6";"99"
"mistyrose";"nebelrosa";"rose brumeux";"19";"17";"93"
"moccasin";"mokassin";"mocassin";"62";"42";"92"
"navajowhite";"navajo-weiss";"blanc navajo";"58";"45";"90"
"navy";"marineblau";"bleu marine";"266";"52";"13"
"navyblue";"marineblau";"bleu marine";"266";"52";"13"
"oldlace";"old lace";"dentelle vieillie";"66";"13";"97"
"olivedrab";"olivgrau";"vert olive terne";"107";"60";"55"
"orange";"orange";"orange";"45";"105";"75"
"orangered";"orangerot";"orange rouge";"17";"158";"58"
"orchid";"orchidee";"orchidee";"310";"80";"63"
"palegoldenrod";"hellgoldgelb";"jaune d'or pale";"81";"45";"91"
"palegreen";"hellgrün";"vert pale";"128";"78";"91"
"paleturquoise";"helltürkis";"turquoise pale";"192";"32";"90"
"palevioletred";"hellviolettrot";"rouge violet pale";"353";"69";"61"
"papayawhip";"papaya-whip";"papaye fouettee";"63";"24";"95"
"peachpuff";"pfirsich-puff";"peche duveteuse";"49";"38";"89"
"peru";"peru";"perou";"40";"75";"62"
"pink";"rosa";"rose";"1";"39";"84"
"plum";"pflaume";"prune";"308";"50";"73"
"powderblue";"puderblau";"bleu poudre";"202";"26";"86"
"purple";"violett";"violet";"283";"123";"45"
"red";"rot";"rouge";"12";"179";"53"
"rosybrown";"rosig-braun";"brun rose";"12";"29";"64"
"royalblue";"königsblau";"bleu royal";"260";"103";"48"
"saddlebrown";"sattelbraun";"brun selle";"30";"64";"37"
"salmon";"lachs";"saumon";"17";"95";"67"
"sandybrown";"sandbraun";"brun sable";"40";"81";"74"
"seagreen";"meergrün";"vert d'eau";"141";"50";"52"
"seashell";"muschel";"coquillage";"47";"9";"97"
"sienna";"sienna";"terre de sienne";"27";"68";"44"
"skyblue";"himmelblau";"bleu ciel";"223";"46";"79"
"slateblue";"schieferblau";"bleu ardoise";"269";"90";"45"
"slategray";"schiefergrau";"gris ardoise";"239";"17";"53"
"slategrey";"schiefergrau";"gris ardoise";"239";"17";"53"
"snow";"schnee";"neige";"12";"3";"99"
"springgreen";"frühlingsgrün";"vert printemps";"137";"110";"88"
"steelblue";"stahlblau";"bleu acier";"243";"54";"52"
"tan";"hellbraun";"beige";"56";"39";"75"
"thistle";"distel";"chardon";"308";"21";"80"
"tomato";"tomatenrot";"tomate";"17";"129";"62"
"turquoise";"türkis";"turquoise";"179";"59";"81"
"violet";"violett";"violet";"308";"85";"70"
"violetred";"violettrot";"rouge-violet";"339";"100";"48"
"wheat";"weizen";"ble";"64";"38";"89"
"whitesmoke";"rauchweiss";"blanc fume";"94";"0";"97"
"yellow";"gelb";"jaune";"86";"107";"97"
"yellowgreen";"gelbgrün";"jaune-vert";"107";"86";"77"
